-0.727624,1.265413,-1.138883,0.861522,0.861516,0.056947,5.064855,6.964044,8.106308,9.590753,10.688056,1.000000,26.859915
-0.221589,0.221589,-0.918015,-0.063274,-0.063258,-0.164619,4.055070,6.326887,7.643820,8.917811,10.255637,0.000000,26.842924
0.095514,0.668580,-0.732251,-0.569801,-0.569804,0.254693,3.505247,6.174249,7.657052,8.806585,10.341974,-1.000000,26.689972
-0.507937,0.285714,-0.793651,0.286533,0.286531,-0.031747,2.225395,5.089943,6.730361,7.869511,9.461870,0.000000,26.766447
0.510201,1.116065,-0.988527,-0.444441,-0.444441,0.427293,1.610327,4.829924,6.580031,7.756057,9.365128,0.000000,26.647486
0.541574,0.541574,-0.764572,0.095657,0.095649,0.191155,0.474682,3.931195,5.833075,7.129419,8.664221,0.000000,26.672974
-0.032051,1.538458,-0.288462,-0.605282,-0.605279,0.551282,0.817306,3.754271,5.879806,7.301757,8.657957,-1.000000,26.511528
3.026316,3.486839,-0.065793,-2.564106,-2.564111,2.532901,3.059219,5.473691,7.909547,9.493644,10.773446,-1.000000,25.831743
-0.748938,0.000000,-1.921192,1.019734,1.019745,0.983391,1.761640,3.564528,6.090848,7.777439,9.034235,1.000000,26.095161
0.293830,1.207969,-0.065289,-0.260501,-0.260504,0.770485,1.795627,2.944827,5.688868,7.450213,8.731914,0.000000,26.027182
0.130166,0.650830,-0.455581,0.326481,0.326482,0.013013,1.178000,1.759407,4.625769,6.487468,7.860725,0.000000,26.112156
-1.316212,0.000000,-1.508828,1.366743,1.366727,-1.367568,-0.327437,0.196908,2.598727,4.566304,6.000410,1.000000,26.469038
1.271186,1.890482,-0.032595,-1.508828,-1.508812,0.325940,0.961533,1.521073,3.464792,5.604949,7.132941,-1.000000,26.069670
1.939799,2.374585,-0.200669,-2.542373,-2.542384,2.401342,3.060205,3.812715,5.377933,7.652180,9.314532,-1.000000,25.406879
-0.594053,0.924096,-1.221119,1.337789,1.337795,0.831684,1.349836,2.213425,3.257429,5.638286,7.322335,1.000000,25.746771
-2.024824,1.077727,-2.547358,1.056112,1.056105,-0.293926,0.039192,0.929679,1.520252,3.942524,5.676032,1.000000,26.018684
-0.965248,0.707847,-2.477481,1.502283,1.502294,-1.814676,-1.480057,-0.673535,-0.136748,1.900896,3.699052,1.000000,26.409561
-0.382775,0.478469,-0.669860,0.868726,0.868727,-2.232860,-2.025524,-1.541738,-1.044661,0.556295,2.417858,1.000000,26.638988
0.964937,1.286587,-0.289482,-0.829346,-0.829348,-0.649728,-1.083953,-0.806264,-0.283051,0.945640,2.834778,-1.000000,26.418058
0.680055,1.198190,-0.129530,-0.675462,-0.675455,0.401551,-0.330317,-0.235326,0.320590,1.134709,3.112040,-1.000000,26.239616
2.077840,2.341692,-0.428757,-1.813468,-1.813483,2.058056,1.375335,1.372037,1.960758,2.431404,4.485493,-1.000000,25.763765
0.165457,1.323633,-0.231631,-0.329819,-0.329812,1.826608,1.403047,1.491288,2.071478,2.529453,4.305098,0.000000,25.678793
0.166220,0.365695,-0.598404,-0.463266,-0.463273,1.456122,1.675537,1.892736,2.325471,2.797879,4.244244,0.000000,25.559830
0.874243,1.075989,-1.008739,-1.130319,-1.130321,1.708142,2.784136,2.840177,3.199401,3.736390,4.891288,-1.000000,25.270922
-2.233172,0.000000,-2.298854,2.387360,2.387364,-0.945817,0.436781,0.402845,0.643677,1.200657,1.978107,1.000000,25.874231
-1.038621,0.292116,-1.071078,1.182259,1.182261,-1.785134,-0.675101,-0.752999,-0.626416,-0.085682,0.371096,1.000000,26.180132
0.457962,0.556101,-0.294406,-0.778965,-0.778965,-0.785086,-0.062152,-0.100315,0.050704,0.565261,0.998802,-1.000000,25.976198
-0.612906,0.064516,-0.903229,1.406608,1.406607,-1.567743,-1.561290,-1.417203,-1.240321,-0.882579,-0.472041,1.000000,26.341581
-0.128869,0.128863,-0.998715,0.129035,0.129032,-0.856958,-1.704252,-1.299397,-1.314431,-1.069586,-0.649697,0.000000,26.375570
-1.870048,0.316960,-2.060219,1.643035,1.643039,-1.762281,-3.080823,-2.630741,-2.763864,-2.644688,-2.233488,1.000000,26.808931
0.190664,0.317766,-0.699075,-0.253566,-0.253576,-1.093095,-2.469008,-2.203144,-2.399098,-2.387022,-1.999774,0.000000,26.740950
0.572704,0.699968,-0.318167,-0.127102,-0.127079,-0.419995,-1.959926,-2.004467,-2.230366,-2.233548,-1.892047,0.000000,26.706968
-0.659752,0.408417,-0.722589,1.272669,1.272672,-1.149872,-2.642176,-3.135421,-3.278368,-3.282452,-3.080965,1.000000,27.046860
-0.624223,0.031205,-0.998758,0.659758,0.659751,-1.173540,-2.562431,-3.572628,-3.578349,-3.750322,-3.660018,1.000000,27.225302
-0.959458,0.061903,-1.083262,0.842697,0.842683,-1.528932,-2.800987,-4.083357,-4.073039,-4.346639,-4.367067,1.000000,27.454725
0.404991,0.996885,-0.280374,-0.649963,-0.649943,-0.492211,-1.763246,-3.086197,-3.214960,-3.550163,-3.667713,-1.000000,27.276285
2.694035,2.790247,-0.320718,-2.866038,-2.866043,2.283514,1.330975,-0.021389,-0.343176,-0.700457,-0.827462,-1.000000,26.494535
-1.269435,0.126941,-1.459857,1.058371,1.058365,1.009205,0.431609,-0.765897,-1.361475,-1.635039,-1.748654,1.000000,26.774944
-0.758294,0.031596,-1.295419,0.444303,0.444289,0.315968,0.180108,-0.802516,-1.709309,-1.848962,-2.084244,0.000000,26.893902
-0.788892,0.725778,-1.072897,0.126385,0.126397,-0.201957,0.097823,-0.666879,-1.705588,-1.797415,-2.096353,0.000000,26.927895
1.271462,2.002546,-0.031780,-0.725787,-0.725794,0.120797,0.826460,0.197086,-0.805776,-0.972654,-1.303233,-1.000000,26.732454
2.647924,2.745995,-0.849951,-2.765413,-2.765399,2.582534,3.419413,3.051099,2.075834,1.779659,1.442730,-1.000000,25.993195
-0.714282,0.097406,-1.428565,0.686496,0.686487,1.422079,2.379875,2.305200,1.496757,1.014289,0.764073,1.000000,26.171635
0.587845,0.947090,-0.522541,-0.584409,-0.584415,1.345528,2.517965,2.815158,2.237103,1.546704,1.434795,-1.000000,26.018684
-0.130588,1.044734,-0.685599,0.032652,0.032661,0.620305,1.936011,2.581349,2.233105,1.480901,1.437589,0.000000,26.027182
0.958681,1.223144,-0.462807,-1.240611,-1.240607,1.084292,2.604952,3.601098,3.424787,2.746439,2.671068,-1.000000,25.704287
-2.172503,0.194553,-2.496757,1.950413,1.950414,-0.687425,0.531769,1.491564,1.489942,0.861212,0.680927,1.000000,26.205627
-1.531097,0.318982,-1.850080,1.653696,1.653694,-1.952155,-1.154710,-0.261566,-0.105267,-0.617549,-0.956943,1.000000,26.638988
0.000000,0.479846,-0.479843,-0.287081,-0.287079,-1.260399,-0.994887,-0.140761,0.217525,-0.136922,-0.653664,0.000000,26.562513
0.289765,0.450747,-0.386343,-0.639798,-0.639804,-0.347708,-0.560203,0.233959,0.783970,0.584677,0.005368,-1.000000,26.392565
0.821828,1.413544,-0.295858,-2.060525,-1.073151,1.043582,0.279854,1.023323,1.756310,1.664965,1.134336,-1.000000,26.109333
-0.361370,0.197106,-1.412618,0.065750,0.065747,0.916620,0.264989,0.863036,1.578365,1.621179,1.125008,0.000000,26.126499
-0.722018,0.164099,-0.951753,0.098548,0.098528,0.445045,0.158881,0.605018,1.307339,1.492193,1.100977,0.000000,26.152241
1.094164,1.458886,-0.431031,-1.017391,-1.017389,0.954914,1.137169,1.379554,2.089965,2.459753,2.219364,-1.000000,25.886171
0.569323,1.406564,-0.368389,-0.994692,-0.994686,1.373074,1.997785,2.060135,2.759392,3.304937,3.214404,-1.000000,25.628685
-0.896418,0.730408,-1.261623,0.870730,0.870727,0.298804,1.174405,0.952049,1.596860,2.275628,2.281116,1.000000,25.851841
0.636296,0.736768,-0.636306,-0.863214,-0.863211,0.783652,1.830243,1.736247,2.312570,2.997876,3.126508,-1.000000,25.628685
-2.701823,0.488288,-2.929684,2.880100,2.880097,-1.874995,-1.123689,-1.062478,-0.629033,0.011316,0.242703,1.000000,26.366816
-0.387594,0.129202,-1.195087,0.781250,0.781243,-2.118853,-1.886293,-1.690409,-1.459763,-0.862180,-0.509625,1.000000,26.572805
0.651463,0.846899,-0.032573,-0.839787,-0.839791,-0.742666,-1.071652,-0.776236,-0.734948,-0.190334,0.274861,-1.000000,26.349649
-0.261777,0.752624,-0.621721,-0.456033,-0.456025,0.000002,-0.572638,-0.188189,-0.376079,0.107271,0.669236,0.000000,26.229488
-0.521003,0.390755,-0.911752,0.490838,0.490837,0.065126,-0.970364,-0.637111,-0.793436,-0.402377,0.133426,0.000000,26.358232
0.558843,1.019066,-0.328731,-0.944315,-0.944293,0.821807,-0.042753,0.174870,0.140364,0.445110,0.968301,-1.000000,26.109333
-0.196786,0.655956,-0.295179,0.230112,0.230094,0.282059,-0.163988,-0.155241,-0.060726,0.103783,0.602018,0.000000,26.169409
1.894317,2.193420,-0.199398,-1.311906,-1.311910,1.209708,1.239618,1.025817,1.228885,1.263863,1.729165,-1.000000,25.826090
-0.265869,0.365573,-1.296108,0.000000,0.000000,0.897313,1.229647,0.952702,1.252466,1.123483,1.541990,0.000000,25.826090
0.000000,0.399338,-0.632273,-0.132938,-0.132931,0.592349,1.427619,1.000554,1.307009,1.226846,1.586324,0.000000,25.791759
-0.395902,1.055757,-0.461890,0.865225,0.865222,-0.343120,0.422304,0.098980,0.318052,0.334425,0.617533,1.000000,26.014915
0.297521,0.561983,-0.694212,-0.197951,-0.197948,-0.304137,0.386773,0.317352,0.401651,0.524915,0.697637,0.000000,25.963419
-0.976245,0.097624,-1.627075,1.586777,1.586771,-1.444841,-1.171492,-1.060851,-1.169863,-0.992461,-0.945070,1.000000,26.375399
1.925631,2.124831,-0.431610,-1.985028,-1.985024,0.571045,0.683927,0.942890,0.781868,1.035496,0.947469,-1.000000,25.851841
0.199867,0.732845,-0.399734,-0.332009,-0.331996,0.886065,0.789462,1.314664,1.047621,1.303800,1.254336,0.000000,25.766014
-0.265164,0.132579,-0.530328,0.499667,0.499650,0.291686,0.205505,0.689428,0.495528,0.685188,0.715292,0.000000,25.894754
0.661817,1.489083,-0.397085,0.165724,0.165725,0.105897,-0.049631,0.359590,0.339185,0.422243,0.538247,0.000000,25.937668
-0.461434,0.461437,-0.791035,0.397091,0.397094,-0.547131,-0.362558,-0.116459,0.021423,-0.029004,0.142320,0.000000,26.040665
